authors,created,description,id,is_prerelease,last_updated,listed,summary,tags,total_downloads,verified,version
NServiceBus Ltd,2012-05-30T06:20:58.887Z,"The hosting template for the nservicebus, The most popular open-source service bus for .net",NServiceBus.Host32-CI,False,1899-12-31T16:00:00-08:00,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",-1,False,3.2.2274
"XAct Software Solutions,Inc.",2012-05-30T03:26:40.137Z,An XActLib assembly: a Library for working with Resources.,XAct.Resources,False,2017-02-08T17:57:43.633-08:00,True,,"XAct,XActLib",92033,False,0.0.436
XAct.IO.TemplateEngines.NVelocity,2012-05-30T07:16:07.447Z,An XActLib Assembly: Library for working with NVelocity,XAct.IO.TemplateEngines.NVelocity,False,2017-02-09T01:57:27.383+00:00,True,,"XAct,XActLib",88706,False,0.0.439
KW_COMPANYNAME,2012-05-30T03:23:47.903Z,KW_ASSEMBLYDESCRIPTION,XAct.Diagnostics.EnterpriseLibrary,False,1899-12-31T16:00:00-08:00,False,,,-1,False,0.0.436
Sergey Grebnov,2012-05-29T14:05:29.003Z,This jQuery Mobile theme allows developers to apply a Metro style look and feel to Windows Phone HTML5 applications developed with  jQuery Mobile.,jQMThemeForWindowsPhoneLite,False,1899-12-31T16:00:00-08:00,False,,,-1,False,1.0.3
bbv Software Services AG and Contributers,2012-05-28T17:48:21.587Z,"Adapter for using event broker extension for distributed communication over NServiceBus.
      Allows sending events over NServiceBus using the bbv.Common.EventBroker infrastructur.

      bbv.Common.DistributedEventBroker.NServiceBusAdapter is a part of bbv.Common, a library of .NET components and functionality including:
      * (a)synchronous notification component with thread switching using publisher-subscriber pattern,
      * hierarchical state machine with fluent definition syntax,
      * programmatic, loosely coupled, context based rule engine,
      * support for active objects to build multi-threaded applications",bbv.Common.DistributedEventBroker.NServiceBusAdapter,False,2012-05-28T10:48:23.243-07:00,True,NServiceBus adapter for distributed event broker (bbv.Common.DistributedEventBroker).,"event-broker,extension,interprocess-communication,distributed",8928,False,7.2.12149.1635
SETTest,2012-05-29T19:40:23.107Z,Package description,HTML5VideoPlayer,False,2012-05-29T20:19:29.33-07:00,True,,"Tag1,Tag2",3155,False,3.0.0.2
Lance Hilliard,2012-05-30T03:52:40.523Z,ScenarioObjects is a spec-writing template for focusing more on behaviors and less on arbitrary values.,ScenarioObjects,False,2012-10-20T17:32:22.283-07:00,True,,,2371,False,1.0.0.2
clausn,2012-05-29T10:09:08.053Z,Provides an Autofac container adapter for Rebus,Rebus.Autofac,True,2018-01-10T13:55:52.793+00:00,True,,"rebus,autofac,di,dependencyInjection,ioc,inversionOfControl",92667,False,0.11.6-alpha
Sony Arouje,2012-05-29T08:00:25.097Z,.NET client for Neo4j Graph Database,Neo4jD,False,2012-05-29T01:00:26.707-07:00,True,,"Neo4j,Client,Graph,Database,Neo4jD",3084,False,1.0.7
Thomas Van Machelen,2012-05-30T05:57:03.497Z,A library for easy integration with Cloudinary,Cloudinary,False,2013-01-22T03:58:08.947-08:00,True,,"Cloudinary,MVC,Images",4067,False,0.0.2
Hibernating Rhinos,2012-05-29T19:07:56.37Z,The cascade delete bundle allows for a specified set of documents and attachments to be deleted when the document that owns it is deleted. Typical usage scenarios include deleting an attachment that is referenced by a document or removing a set of child documents referenced by a parent document.,RavenDB.Bundles.CascadeDelete,True,1900-01-01T00:00:00+00:00,False,,"nosql,ravendb,raven,document,database,bundles",194586,True,1.2.2007-Unstable
mookid8000,2012-05-29T10:09:35.78Z,Provides RavenDb saga persister and subscription storage,Rebus.RavenDb,True,2017-08-15T22:44:57.243+00:00,True,,"rebus,ravendb",65896,False,0.11.6-alpha
Tugberk Ugurlu,2012-05-29T23:00:50.723Z,eCommerce helper common library,ECommerceHelper.Common,False,2012-10-04T03:43:01.17-07:00,True,,eCommerce,5457,False,0.2.2
Hibernating Rhinos,2012-05-28T09:17:33.637Z,"This package let you include RavenDB embedded in-process with your application. RavenDB is a document database for the .NET platform, offering a flexible data model design to fit the needs of real world systems.",RavenDB.Embedded,True,1900-01-01T00:00:00+00:00,False,This package let you include RavenDB embedded in-process with your application.,"nosql,ravendb,raven,document,database,embedded",541651,True,1.0.953-Unstable
Selenium Committers,2012-05-29T13:38:29.607Z,"Selenium is a set of different software tools each with a different approach to supporting browser automation. These tools are highly flexible, allowing many options for locating and manipulating elements within a browser, and one of its key features is the support for automating multiple browser platforms. This package contains the .NET bindings for the newer, more concise and object-based Selenium WebDriver API, which uses native OS-level events to manipulate the browser, bypassing the JavaScript sandbox, and does not require the Selenium Server to automate the browser.",Selenium.WebDriver,False,2018-04-12T15:56:43.4+00:00,True,.NET bindings for the Selenium WebDriver API,"Selenium,WebDriver,browser,automation",5202813,False,2.22.0
Livet Project,2012-05-28T06:04:21.813Z,Livet拡張機能アセンブリです。現状ではフォルダーブラウザ関連機能のみを提供しています。,LivetExtensions,False,2013-03-30T14:36:05.423-07:00,True,Folder Browser Extension for Livet.,"MVVM,WPF,Livet",13790,False,1.0.0
