authors,created,description,id,is_prerelease,listed,summary,tags,total_downloads,verified,version
Nicholas Blumhardt,2011-01-07T07:50:12.527Z,Provides an IControllerFactory implementation for System.Web.Mvc,Autofac.Mvc2,False,True,Provides an IControllerFactory implementation for System.Web.Mvc,,11355,False,2.2.4.900
Nicholas Blumhardt,2011-01-07T07:24:39.12Z,An ASP.NET WebForms integration module for Autofac,Autofac.Web,False,True,An ASP.NET WebForms integration module for Autofac,,292841,False,2.2.4.900
"Nicholas Blumhardt,Autofac Contributors",2011-01-07T07:24:20.793Z,ASP.NET WebForms integration for Autofac,Autofac.Web,False,True,Provides dependency management and property injection for ASP.NET WebForms Pages.,,292841,False,2.3.2.632
"Nicholas Blumhardt,Autofac Contributors",2011-01-07T07:50:13.947Z,ASP.NET MVC2 Integration for Autofac,Autofac.Mvc2,False,True,Provides an IControllerFactory implementation and other integration points for System.Web.Mvc.,,11355,False,2.3.2.632
"Headspring,Jimmy Bogard",2011-01-07T07:50:18.667Z,"A convention-based object-object mapper. AutoMapper uses a fluent configuration API to define an object-object mapping strategy. AutoMapper uses a convention-based matching algorithm to match up source to destination values. Currently, AutoMapper is geared towards model projection scenarios to flatten complex object models to DTOs and other simple objects, whose design is better suited for serialization, communication, messaging, or simply an anti-corruption layer between the domain and application layer.",AutoMapper,False,True,"A convention-based object-object mapper. AutoMapper uses a fluent configuration API to define an object-object mapping strategy. AutoMapper uses a convention-based matching algorithm to match up source to destination values. Currently, AutoMapper is geared towards model projection scenarios to flatten complex object models to DTOs and other simple objects, whose design is better suited for serialization, communication, messaging, or simply an anti-corruption layer between the domain and application layer.",,15299578,True,1.1.0.118
Rob Ashton,2011-01-07T07:50:20.073Z,"AutoPoco is a convention-based and fluent test-object generation framework built to aid the creation of objects for unit tests or for test-data population into databases. Minimum configuration is required to get up and started, and manual configuration is supported as well as conventions.",AutoPoco,False,True,AutoPoco is a convention-based and fluent test-object generation framework built to aid the creation of objects for unit tests or for test-data population into databases,,25560,False,1.0.0
"[BBCode Helper - John Katsiotis],[BBCode - codekicker.de]",2011-01-07T07:50:24.807Z,BBCodeHelper is a helper based on an excellent BBCode parser available at Codeplex (http://bbcode.codeplex.com/) This package contains a helper that can be used with Razor Syntax for easy set up!,BBCode,False,True,,ASPNETWEBPAGES,11390,False,0.3.0
Microsoft,2011-01-07T07:50:26.463Z,"With the Bing Map App SDK, you can now create your own map apps built on top of Bing Maps and hosted on bing.com. This package contains the required assemblies for developing map apps. It is best installed into Silverlight 4 application projects (rather than library projects).",BingMapAppSDK,False,True,"With the Bing Map App SDK, you can now create your own map apps built on top of Bing Maps and hosted on bing.com. This package contains the required assemblies for developing map apps. It is best installed into Silverlight 4 application projects (rather than library projects).",,,False,1.0.1011.1716
Luis Bocaletti,2011-01-07T07:50:29.697Z,"bootstrapper.codeplex.com uses a convention over configuration approach to initialize your IOC container, create automapper maps and run any other startup tasks that your application might need.",Bootstrapper,False,True,"bootstrap your applications container, maps and  startup tasks",,94708,False,1.0.0
Luis Bocaletti,2011-01-07T07:50:31.01Z,bootstrapper.codeplex.com. StructureMap extension for Bootstrapper.,Bootstrapper.StructureMap,False,True,StructureMap extension for Bootstrapper,,18592,False,1.0.0
Luis Bocaletti,2011-01-07T07:50:32.34Z,http://bootstrapper.codeplex.com. Unity extension for Bootstrapper.,Bootstrapper.Unity,False,True,Unity extension for Bootstrapper,,22373,False,1.0.0
Luis Bocaletti,2011-01-07T07:50:33.667Z,bootstrapper.codeplex.com. Windsor extension for Bootstrapper.,Bootstrapper.Windsor,False,True,Windsor extension for Bootstrapper,,11810,False,1.0.0
Sven Erik Matzen (http://svenerikmatzen.info),2011-01-07T07:50:35.197Z,"Bouncer (http://bouncer.codeplex.com) is a library to validate input parameter of methods in a configurable and declarative way that can replace the use of guard classes. The idea is to declare a ""context"" at the method or class level and declare rules for business entities at the type/property level.",bouncer,False,True,"Bouncer (http://bouncer.codeplex.com) is a library to validate input parameter of methods in a configurable and declarative way that can replace the use of guard classes. The idea is to declare a ""context"" at the method or class level and declare rules for business entities at the type/property level.",,2178,False,2010.1007.0
Michael Mac,2011-01-07T07:50:40.277Z,"BusinessFrameowrk is a library which helps build business application. It provides rules, validation, textual lanugage - Formula, dynamic properties, etc.",BusinessFramework,False,True,,,2402,False,0.2.0
G. Richard Bellamy,2011-01-07T07:50:41.713Z,The Validator component is used to validate your objects. It uses an attribute driven syntax making it easy to start adding validation to your classes.,Castle.Components.Validator,False,True,The Validator component is used to validate your objects. It uses an attribute driven syntax making it easy to start adding validation to your classes.,,55421,False,1.1.0
G. Richard Bellamy,2011-01-07T07:50:44.277Z,The Validator component is used to validate your objects. It uses an attribute driven syntax making it easy to start adding validation to your classes.,Castle.Components.Validator,False,True,The Validator component is used to validate your objects. It uses an attribute driven syntax making it easy to start adding validation to your classes.,,55421,False,2.5.0
Jonathon Rossi & Krzysztof Kozmic,2011-01-07T07:50:45.637Z,log4net integration with Castle.Core,Castle.Core-log4net,False,True,log4net integration with Castle.Core,,320319,False,2.5.1
Castle Project Contributors,2011-01-07T07:50:46.98Z,log4net integration with Castle.Core,Castle.Core-log4net,False,True,log4net integration with Castle.Core,,320319,False,2.5.2
Jonathon Rossi & Krzysztof Kozmic,2011-01-07T07:50:48.323Z,NLog integration with Castle.Core,Castle.Core-NLog,False,True,NLog integration with Castle.Core,,112695,False,2.5.1
Castle Project Contributors,2011-01-07T07:50:49.73Z,NLog integration with Castle.Core,Castle.Core-NLog,False,True,NLog integration with Castle.Core,,112695,False,2.5.2
Jonathon Rossi & Krzysztof Kozmic,2011-01-07T07:50:51.197Z,Core of the castle project,Castle.Core,False,True,Core of the castle project,,16165605,False,1.1.0
Jonathon Rossi & Krzysztof Kozmic,2011-01-07T07:50:52.73Z,Core of the castle project,Castle.Core,False,True,Core of the castle project,,16165605,False,1.2.0
Jonathon Rossi & Krzysztof Kozmic,2011-01-07T07:50:56.433Z,Core of the Castle project,Castle.Core,False,True,Core of the Castle project,,16165605,False,2.5.1
Castle Project Contributors,2011-01-07T07:51:01.15Z,"Castle Project Core, including DynamicProxy, Logging Abstractions and DictionaryAdapter",Castle.Core,False,True,"Castle Project Core, including DynamicProxy, Logging Abstractions and DictionaryAdapter",,16165605,False,2.5.2
Castle Project Contributors,2011-01-07T07:51:05.793Z,log4net integration with Castle.Windsor,Castle.Windsor-log4net,False,True,log4net integration with Castle.Windsor,,,False,2.5.1
Castle Project Contributors,2011-01-07T07:51:07.277Z,log4net integration with Castle.Windsor,Castle.Windsor-log4net,False,True,log4net integration with Castle.Windsor,,,False,2.5.2
Castle Project Contributors,2011-01-07T07:51:08.823Z,NLog integration with Castle.Windsor,Castle.Windsor-NLog,False,True,NLog integration with Castle.Windsor,,,False,2.5.1
Castle Project Contributors,2011-01-07T07:51:10.213Z,NLog integration with Castle.Windsor,Castle.Windsor-NLog,False,True,NLog integration with Castle.Windsor,,,False,2.5.2
Castle Project Contributors,2011-01-07T07:51:11.65Z,"Castle Project offers two Inversion of Control Containers. The MicroKernel and the Windsor Container.

The Castle MicroKernel is an inversion of control container that was designed towards extensibility. It combines facilities to grow orthogonally. These facilities work side-by-side, without interfering or depending on each other, to allow you to easily extend the container functionality by plugging in new concerns and semantics.

Castle Windsor aggregates the MicroKernel and exposes a powerful configuration support. It is suitable for common enterprise application needs. It is able to register facilities and components based on the configuration and adds support for interceptors.",Castle.Windsor,False,True,"Castle Project offers two Inversion of Control Containers. The MicroKernel and the Windsor Container.

The Castle MicroKernel is an inversion of control container that was designed towards extensibility. It combines facilities to grow orthogonally. These facilities work side-by-side, without interfering or depending on each other, to allow you to easily extend the container functionality by plugging in new concerns and semantics.

Castle Windsor aggregates the MicroKernel and exposes a powerful configuration support. It is suitable for common enterprise application needs. It is able to register facilities and components based on the configuration and adds support for interceptors.",,2632129,False,2.1.1
Castle Project Contributors,2011-01-07T07:51:16.713Z,"Castle Project offers two Inversion of Control Containers. The MicroKernel and the Windsor Container.

The Castle MicroKernel is an inversion of control container that was designed towards extensibility. It combines facilities to grow orthogonally. These facilities work side-by-side, without interfering or depending on each other, to allow you to easily extend the container functionality by plugging in new concerns and semantics.

Castle Windsor aggregates the MicroKernel and exposes a powerful configuration support. It is suitable for common enterprise application needs. It is able to register facilities and components based on the configuration and adds support for interceptors.",Castle.Windsor,False,True,"Castle Project offers two Inversion of Control Containers. The MicroKernel and the Windsor Container.

The Castle MicroKernel is an inversion of control container that was designed towards extensibility. It combines facilities to grow orthogonally. These facilities work side-by-side, without interfering or depending on each other, to allow you to easily extend the container functionality by plugging in new concerns and semantics.

Castle Windsor aggregates the MicroKernel and exposes a powerful configuration support. It is suitable for common enterprise application needs. It is able to register facilities and components based on the configuration and adds support for interceptors.",,2632129,False,2.5.1
Castle Project Contributors,2011-01-07T07:51:22.527Z,"Castle Project offers two Inversion of Control Containers. The MicroKernel and the Windsor Container.

The Castle MicroKernel is an inversion of control container that was designed towards extensibility. It combines facilities to grow orthogonally. These facilities work side-by-side, without interfering or depending on each other, to allow you to easily extend the container functionality by plugging in new concerns and semantics.

Castle Windsor aggregates the MicroKernel and exposes a powerful configuration support. It is suitable for common enterprise application needs. It is able to register facilities and components based on the configuration and adds support for interceptors.",Castle.Windsor,False,True,"Castle Project offers two Inversion of Control Containers. The MicroKernel and the Windsor Container.

The Castle MicroKernel is an inversion of control container that was designed towards extensibility. It combines facilities to grow orthogonally. These facilities work side-by-side, without interfering or depending on each other, to allow you to easily extend the container functionality by plugging in new concerns and semantics.

Castle Windsor aggregates the MicroKernel and exposes a powerful configuration support. It is suitable for common enterprise application needs. It is able to register facilities and components based on the configuration and adds support for interceptors.",,2632129,False,2.5.2
CatenaLogic,2011-01-07T07:51:25.59Z,Catel.Core library which includes the DataObjectBase class.,Catel.Core,False,True,,,228325,True,0.9.1
CatenaLogic,2011-01-07T07:51:28.697Z,Catel.Core library which includes the DataObjectBase class.,Catel.Core,False,True,,,228325,True,0.9.2
CatenaLogic,2011-01-07T07:51:31.933Z,Catel.Core library which includes the DataObjectBase class.,Catel.Core,False,True,,,228325,True,1.0.0
CatenaLogic,2011-01-07T07:51:34.933Z,"Silverlight version of Catel, including all controls and the MVVM framework.",Catel.Silverlight,False,True,,,,False,1.0.0
CatenaLogic,2011-01-07T07:51:37.747Z,Catel.Windows library which includes the MVVM Framework and user controls.,Catel.Windows,False,True,,,,False,0.9.1
CatenaLogic,2011-01-07T07:51:40.543Z,Catel.Windows library which includes the MVVM Framework for WPF and user controls.,Catel.Windows,False,True,,,,False,0.9.2
CatenaLogic,2011-01-07T07:51:43.463Z,Catel.Windows library which includes the MVVM Framework for WPF and user controls.,Catel.Windows,False,True,,,,False,1.0.0
Kori Francis,2011-01-07T07:51:45.197Z,"Chargify.NET is a comprehensive C# API wrapper library for accessing Chargify.com, using XML or JSON to read/write.",chargify,False,True,"Chargify.NET is a comprehensive C# API wrapper library for accessing Chargify.com, using XML or JSON to read/write.",,43542,False,1.0.0
Andy Sherwood,2011-01-07T07:51:46.557Z,Provides common abstractions for the file system and network,Cirrostrata-Abstractions,False,True,,,2414,False,1.0.0
zeromq,2011-01-07T07:51:51.277Z,"CLR binding for Ã˜MQ (ZeroMQ).

WARNINGS:

 * this only works with x86 build targets.
 * when deploying, you need to manually copy tools\libzmq.dll into the output directory.",clrzmq2,False,True,,,3864,False,2.0.10.2010112000
"Microsoft,Drew Miller",2011-01-07T07:51:52.777Z,ColorCode is a library for colorizing source code (also known as syntax highlighting).,ColorCode,False,True,ColorCode is a library for colorizing source code (also known as syntax highlighting).,,23208,False,1.0.1
John Ruiz,2011-01-07T07:51:54.12Z,"A very simple, no-frills API for publishing and subscribing to events.",common.eventing,False,True,"A very simple, no-frills API for publishing and subscribing to events.",,1758,False,1.0.0
"Aleksandar Seovic,Mark Pollack,Erich Eichinger",2011-01-07T07:51:55.463Z,Common.Logging library introduces a simple abstraction to allow you to select a specific logging implementation at runtime.,Common.Logging,False,True,,,4285468,False,1.2.0
"Aleksandar Seovic,Mark Pollack,Erich Eichinger",2011-01-07T07:51:56.823Z,Common.Logging library introduces a simple abstraction to allow you to select a specific logging implementation at runtime.,Common.Logging,False,True,,,4285468,False,2.0.0
"Aleksandar Seovic,Mark Pollack,Erich Eichinger",2011-01-07T07:51:58.37Z,Common.Logging library bindings for Enterprise Library logging framework.,Common.Logging.EntLib,False,True,,,8080,False,1.2.0
"Aleksandar Seovic,Mark Pollack,Erich Eichinger",2011-01-07T07:51:59.697Z,Common.Logging library bindings for Enterprise Library logging framework.,Common.Logging.EntLib,False,True,,,8080,False,2.0.0
"Aleksandar Seovic,Mark Pollack,Erich Eichinger",2011-01-07T07:52:01.073Z,Common.Logging library bindings for Enterprise Library 4.1 logging framework.,Common.Logging.EntLib41,False,True,,,8653,False,2.0.0
"Aleksandar Seovic,Mark Pollack,Erich Eichinger",2011-01-07T07:52:02.37Z,Common.Logging library bindings for Log4Net logging framework.,Common.Logging.Log4Net,False,True,,,176614,False,1.2.0
"Aleksandar Seovic,Mark Pollack,Erich Eichinger",2011-01-07T07:52:03.713Z,Common.Logging library bindings for Log4Net logging framework.,Common.Logging.Log4Net,False,True,,,176614,False,2.0.0
"Aleksandar Seovic,Mark Pollack,Erich Eichinger",2011-01-07T07:52:05.057Z,Common Logging,Common.Logging.Log4Net129,False,True,,,10759,False,2.0.0
"Aleksandar Seovic,Mark Pollack,Erich Eichinger",2011-01-07T07:52:06.4Z,Common.Logging library bindings for NLog logging framework.,Common.Logging.NLog,False,True,,,86929,False,1.2.0
"Aleksandar Seovic,Mark Pollack,Erich Eichinger",2011-01-07T07:52:07.73Z,Common.Logging library bindings for NLog logging framework.,Common.Logging.NLog,False,True,,,86929,False,2.0.0
Microsoft,2011-01-07T07:52:09.197Z,"The Common Service Locator library contains a shared interface for service location which application and framework developers can reference. The library provides an abstraction over IoC containers and service locators. Using the library allows an application to indirectly access the capabilities without relying on hard references. The hope is that using this library, third-party applications and frameworks can begin to leverage IoC/Service Location without tying themselves down to a specific implementation.",CommonServiceLocator,False,True,"The Common Service Locator library contains a shared interface for service location which application and framework developers can reference. The library provides an abstraction over IoC containers and service locators. Using the library allows an application to indirectly access the capabilities without relying on hard references. The hope is that using this library, third-party applications and frameworks can begin to leverage IoC/Service Location without tying themselves down to a specific implementation.",,10073269,True,1.0.0
"Jeff Doolittle,Luis Bocaletti",2011-01-07T07:52:10.463Z,An adapter to implement CommonServiceLocator on top of StructureMap,CommonServiceLocator.StructureMapAdapter,False,True,An adapter to implement CommonServiceLocator on top of StructureMap,,,False,1.1.0
Oren Eini,2011-01-07T07:52:11.793Z,An adapter to implement CommonServiceLocator on top of Castle Windsor,CommonServiceLocator.WindsorAdapter,False,True,An adapter to implement CommonServiceLocator on top of Castle Windsor,,100467,False,1.0.0
Fabio Maulo,2011-01-07T07:52:13.76Z,Configure ORM by code,ConfOrm,False,True,,,6846,False,1.0.1.1
Lasse Vågsæther Karlsen,2011-01-07T07:52:17.4Z,A diff implementation class library for .NET 3.5 and 4.0 written in C#.,difflib,False,True,This class library for.NET 3.5 and 4.0 does collection-based diff generation.,,15724,False,1.0.0
Matthew Manela,2011-01-07T07:52:18.98Z,DiffPlex is a diffing library that allows you to programatically create text diffs. DiffPlex is a fast and tested library which is used by CodePlex to provide its source code diffing functionality.,DiffPlex,False,True,DiffPlex is a diffing library that allows you to programatically create text diffs. DiffPlex is a fast and tested library which is used by CodePlex to provide its source code diffing functionality.,,105010,False,1.1.0
Patrick A. Lorenz,2011-01-07T07:52:20.683Z,"The .NET Extensions project is a growing library of C# und VB.NET extension methods. The project is part of a monthly column published by Patrick A. Lorenz (www.pgk.de) in the German print magazine ""dotnetpro"" (www.dotnetpro.de). You can expect monthly updates.",dnpextensions,False,True,"The .NET Extensions project is a growing library of C# und VB.NET extension methods. The project is part of a monthly column published by Patrick A. Lorenz (www.pgk.de) in the German print magazine ""dotnetpro"" (www.dotnetpro.de). You can expect monthly updates.",,10291,False,2010.12.0
Daniel Hoelbling,2011-01-07T07:52:22.607Z,"This is a project to port the hugely useful Less libary to the .NET world. It give variables, nested rules and operators to CSS.",dotless,False,True,"This is a project to port the hugely useful Less libary to the .NET world. It give variables, nested rules and operators to CSS.",,1666172,False,1.1.0
"Tim Jones,Alessandro Petrelli",2011-01-07T07:52:24.09Z,DotLiquid is a templating system ported to the .NET framework from Ruby’s Liquid Markup.,DotLiquid,False,True,DotLiquid is a templating system ported to the .NET framework from Ruby’s Liquid Markup.,,343911,False,1.0.0
Andrew Arnott,2011-01-07T07:52:28.697Z,"A C# library that adds OpenID 2.0 Provider and Relying Party, OAuth Consumer and Service Provider, and InfoCard Selector support to your web site both programmatically and through convenient drop-in ASP.NET controls.",DotNetOpenAuth,False,True,"A C# library that adds OpenID 2.0 Provider and Relying Party, OAuth Consumer and Service Provider, and InfoCard Selector support to your web site both programmatically and through convenient drop-in ASP.NET controls.",,350372,False,3.4.5.10202
Andrew Arnott,2011-01-07T07:52:33.387Z,"A C# library that adds OpenID 2.0 Provider and Relying Party, OAuth Consumer and Service Provider, and InfoCard Selector support to your web site both programmatically and through convenient drop-in ASP.NET controls.",DotNetOpenAuth,False,True,"OpenID, OAuth, & InfoCard library for web sites/services and apps.",,350372,False,3.4.6.10357
Dino Chiesa,2011-01-07T07:52:35.98Z,"DotNetZip is an easy-to-use, FAST, FREE class library and toolset for manipulating zip files or folders.",DotNetZip,False,True,"DotNetZip is an easy-to-use, FAST, FREE class library and toolset for manipulating zip files or folders.",,2501993,False,1.9.0
Microsoft,2011-01-07T07:52:41.463Z,CTP5 of the Code First Programming Model and Productivity Improvements for Entity Framework 4 (included in .NET Framework 4).,EFCodeFirst,False,True,CTP5 of the Code First Programming Model and Productivity Improvements for Entity Framework 4 (included in .NET Framework 4).,,,False,0.8.0
Microsoft,2011-01-07T07:52:42.747Z,This sample blog model demonstrates the use of the Entity Framework Feature CTP5 Code First support,EFCodeFirst.Sample,False,True,This sample blog model demonstrates the use of the Entity Framework Feature CTP5 Code First support,,,False,0.8.0
Microsoft,2011-01-07T07:52:46.607Z,This CTP is a an early preview of the Code First Programming Model and Productivity Improvements for Entity Framework 4 (included in .NET Framework 4).,EFCTP4,False,True,This CTP is a an early preview of the Code First Programming Model and Productivity Improvements for Entity Framework 4 (included in .NET Framework 4).,,4471,False,1.0.0
Microsoft,2011-01-07T07:52:47.87Z,This sample blog model demonstrates the use of the Entity Framework CTP4 Code Only support,EFCTP4.SampleBlogModel,False,True,This sample blog model demonstrates the use of the Entity Framework CTP4 Code Only support,,2191,False,0.5.0
azizatif,2011-01-07T07:52:49.497Z,"ELMAH (Error Logging Modules and Handlers) is an application-wide error logging facility that is completely pluggable. It can be dynamically added to a running ASP.NET web application, or even all ASP.NET web applications on a machine, without any need for re-compilation or re-deployment.",elmah,False,True,"ELMAH (Error Logging Modules and Handlers) is an application-wide error logging facility that is completely pluggable. It can be dynamically added to a running ASP.NET web application, or even all ASP.NET web applications on a machine, without any need for re-compilation or re-deployment.",,2939275,False,1.1.0
"Troy Goode,Steven Burman",2011-01-07T07:52:50.9Z,A wrapper library for the JanRain Engage (formerly RPX) authentication service.,EngageNet,False,True,,,2215,False,1.0.0
"Troy Goode,Steven Burman",2011-01-07T07:52:52.247Z,Asp.Net MVC helpers and example impelmentation for the EngageNet library.,EngageNet.Mvc,False,True,,,2329,False,1.0.0
Attila KiskÃ³,2011-01-07T07:52:53.637Z,log4net adapter for EnyimMemcached,EnyimMemcached-log4net,False,True,Enyim.Caching.Log4NetAdapter,,51853,False,2.7.0
Attila KiskÃ³,2011-01-07T07:52:55.73Z,Memcached client library,EnyimMemcached,False,True,Enyim.Caching.Memcached,,554768,False,2.7.0
Sly Gryphon (sgryphon@computer.org),2011-01-07T07:52:58.51Z,"Essential.Diagnostics contains additional trace listeners, filters and utility classes for the .NET Framework System.Diagnostics trace logging. Included are colored console (that allows custom formats), SQL database (including a tool to create tables) and in-memory trace listeners, simple property and expression filters, activity and logical operation scopes, and configuration file monitoring.",Essential.Diagnostics,False,True,"Essential.Diagnostics contains additional trace listeners, filters and utility classes for the .NET Framework System.Diagnostics trace logging. Included are colored console (that allows custom formats), SQL database (including a tool to create tables) and in-memory trace listeners, simple property and expression filters, activity and logical operation scopes, and configuration file monitoring.",,80096,False,1.0.1011
Jared Roughan,2011-01-07T07:52:59.98Z,"Fabricator makes it easy to generate sample data during development of your .NET application whenever real data isn't available, takes a long time to access or has regular breaking changes.",Fabricator,False,True,"Fabricator makes it easy to generate sample data during development of your .NET application whenever real data isn't available, takes a long time to access or has regular breaking changes.",,3685,False,0.3.2.40387
Microsoft,2011-01-07T07:53:09.76Z,The Facebook Helper for WebMatrix make it easy to add social widgets on your web pages using the minimum amount of code.,Facebook.Helper,False,True,,ASPNETWEBPAGES,43827,False,1.0.0
Patrik HÃ¤gne,2011-01-07T07:53:15.107Z,The FakeItEasy mocking framework.,FakeItEasy,False,True,The FakeItEasy mocking framework.,,1564936,False,1.0.0.5
Patrik HÃ¤gne,2011-01-07T07:53:16.793Z,"It's faking amazing! The easy mocking framework for .Net that works great in C# and VB.Net alike. No need
	to know the difference between a stub and a mock, everythings a fake! The easy to use, refactoring friendly api makes
	faking a breeze.",FakeItEasy,False,True,"It's faking amazing! The easy mocking framework for .Net that works great in C# and VB.Net alike. No need
	to know the difference between a stub and a mock, everythings a fake! The easy to use, refactoring friendly api makes
	faking a breeze.",,1564936,False,1.5.3970.199
